"금연구역명",금연구역범위상세,시도명,시군구명,금연구역구분,금연구역지정근거명,금연구역면적,위반과태료,위반신고전화번호,소재지도로명주소,소재지지번주소,관리기관명,위도,경도,데이터기준일자
"남목청소년문화의집",시설 실내,울산광역시,동구,청소년 활동시설,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 남목9길 13 (서부동),울산광역시 동구 남목9길 13 (서부동),울산광역시 동구,35.5412706,129.4252022,2019-09-18
"동구청소년문화의집",시설 실내,울산광역시,동구,청소년 활동시설,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 봉수로 155 (화정동),울산광역시 동구 봉수로 155 (화정동),울산광역시 동구,35.5050862,129.4166463,2019-09-18
"거북이게임장",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 꽃바위로 270 (방어동),울산광역시 동구 꽃바위로 270 (방어동),울산광역시 동구,35.4833772,129.4187501,2019-09-18
"견우프로방스",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 꽃바위로 273-1 (방어동),울산광역시 동구 꽃바위로 273-1 (방어동),울산광역시 동구,35.4838586,129.4189701,2019-09-18
"깨비PC방",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 꽃바위로 290, 1층 (방어동)","울산광역시 동구 꽃바위로 290, 1층 (방어동)",울산광역시 동구,35.484276,129.4207196,2019-09-18
"꽃바위PC(방어동)",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 꽃바위로 304(방어동),울산광역시 동구 꽃바위로 304(방어동),울산광역시 동구,35.4849301,129.4220402,2019-09-18
"낙원게임랜드",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 남목18길 8, 2층 211호 (동부동, 남목시티프라자)","울산광역시 동구 남목18길 8, 2층 211호 (동부동, 남목시티프라자)",울산광역시 동구,35.5427086,129.4286693,2019-09-18
"놀러와 게임랜드",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 대송1길 19, 1층 (화정동)","울산광역시 동구 대송1길 19, 1층 (화정동)",울산광역시 동구,35.4995881,129.4190428,2019-09-18
"대박뽑기방",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 대송1길 20, 2층 (화정동)","울산광역시 동구 대송1길 20, 2층 (화정동)",울산광역시 동구,35.4993685,129.4191657,2019-09-18
"대빵놀이터",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 대송6길 14 (화정동),울산광역시 동구 대송6길 14 (화정동),울산광역시 동구,35.4992476,129.4193333,2019-09-18
"대왕암오락실",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 대송로 5, 1층 (일산동)","울산광역시 동구 대송로 5, 1층 (일산동)",울산광역시 동구,35.5041079,129.4289806,2019-09-18
"더 조은 게임랜드",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 대송로 86 (화정동),울산광역시 동구 대송로 86 (화정동),울산광역시 동구,35.5005449,129.4240425,2019-09-18
"데일리PC",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 대학길 143, 1층 (일산동)","울산광역시 동구 대학길 143, 1층 (일산동)",울산광역시 동구,35.4977744,129.4254143,2019-09-18
"라이또PC방 울산본점",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 대학길 145, 3층 (일산동)","울산광역시 동구 대학길 145, 3층 (일산동)",울산광역시 동구,35.4977577,129.4256047,2019-09-18
"레드배틀PC방",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 대학길 156, 1층 (화정동)","울산광역시 동구 대학길 156, 1층 (화정동)",울산광역시 동구,35.4972232,129.4257616,2019-09-18
"렛츠고PC방",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 대학길 173, 1층 (일산동)","울산광역시 동구 대학길 173, 1층 (일산동)",울산광역시 동구,35.4973091,129.4269535,2019-09-18
"로얄게임랜드",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 대학길 184, 1층 (화정동)","울산광역시 동구 대학길 184, 1층 (화정동)",울산광역시 동구,35.4967056,129.4273792,2019-09-18
"루카스 PC방 남목점",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 동해안로 46, 3층 (동부동)","울산광역시 동구 동해안로 46, 3층 (동부동)",울산광역시 동구,35.5420743,129.4284187,2019-09-18
"리오PC방(방어점)",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 동해안로 50, 1층 (동부동)","울산광역시 동구 동해안로 50, 1층 (동부동)",울산광역시 동구,35.5420823,129.4287309,2019-09-18
"리움PC존",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 동해안로 50, 3층 (동부동)","울산광역시 동구 동해안로 50, 3층 (동부동)",울산광역시 동구,35.5420823,129.4287309,2019-09-18
"만만게임장",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 동해안로 73, 2층 (동부동)","울산광역시 동구 동해안로 73, 2층 (동부동)",울산광역시 동구,35.5433869,129.4305229,2019-09-18
"맨유PC(전하점)",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 등대3길 40, 2층 (방어동)","울산광역시 동구 등대3길 40, 2층 (방어동)",울산광역시 동구,35.48809638,129.4290407,2019-09-18
"모여라뽑기왕",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 등대5길 2, 301호 (방어동)","울산광역시 동구 등대5길 2, 301호 (방어동)",울산광역시 동구,35.48763803,129.428714,2019-09-18
"몽게임랜드",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 명덕3길 13 (서부동),울산광역시 동구 명덕3길 13 (서부동),울산광역시 동구,35.5235213,129.4318339,2019-09-18
"문재게임랜드",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 명덕3길 6(서부동),울산광역시 동구 명덕3길 6(서부동),울산광역시 동구,35.5235344,129.4324758,2019-09-18
"미스터고 인형뽑기 전문샵",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 명덕4길 10, 3층 (서부동)","울산광역시 동구 명덕4길 10, 3층 (서부동)",울산광역시 동구,35.5229866,129.4322312,2019-09-18
"발리게임랜드",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 명덕5길 4, 1층 (서부동)","울산광역시 동구 명덕5길 4, 1층 (서부동)",울산광역시 동구,35.5237319,129.4323183,2019-09-18
